date	amd64	arm64
2026-07-13	1.19367.0	1.19367.0
2026-07-14	1.20186.1	1.20186.1
2026-07-15	1.21459.0	1.21459.0
2026-07-16	1.21459.1	1.21459.1
2026-07-17	1.22209.0	1.22209.0
2026-07-20	1.22209.3	1.22209.3
2026-07-22	1.24012.0	1.24012.0
2026-07-25	1.24012.9	1.24012.9
2026-08-04	1.24012.11	1.24012.11
2026-08-19	1.32885.1	1.32885.1
2026-08-22	1.34493.1	1.34493.1
2026-08-26	1.37937.1	1.37937.1
2026-08-27	1.37937.3	1.37937.3
2026-08-29	1.40609.0	1.40609.0
2026-09-02	1.40609.1	1.40609.1
2026-09-05	1.46388.2	1.46388.2
